iter	Passed	Remaining
144	1663	9811
145	1671	9777
146	1681	9756
147	1689	9724
148	1699	9705
149	1707	9674
150	1717	9655
151	1725	9624
152	1735	9605
153	1744	9583
154	1755	9572
155	1766	9554
156	1773	9523
157	1784	9512
158	1793	9487
159	1803	9469
160	1813	9449
161	1822	9425
162	1832	9409
163	1840	9382
164	1851	9369
165	1861	9350
166	1869	9323
167	1879	9306
168	1889	9290
169	1899	9273
170	1908	9251
171	1918	9233
172	1928	9220
173	1937	9199
174	1948	9183
175	1957	9166
176	1966	9145
177	1978	9134
178	1985	9108
179	1995	9091
180	2004	9069
181	2014	9053
182	2023	9033
183	2032	9013
184	2042	8997
185	2050	8973
186	2060	8958
187	2068	8932
188	2077	8915
189	2085	8892
190	2095	8876
191	2105	8860
192	2114	8840
193	2124	8826
194	2132	8803
195	2144	8795
196	2153	8777
197	2162	8757
198	2170	8736
199	2180	8720
200	2189	8702
201	2198	8685
202	2208	8671
203	2217	8651
204	2227	8638
205	2237	8622
206	2244	8600
207	2255	8589
208	2263	8566
209	2272	8550
210	2281	8530
211	2291	8518
212	2300	8500
213	2309	8483
214	2319	8468
215	2327	8448
216	2338	8436
217	2345	8415
218	2357	8406
219	2366	8390
220	2377	8381
221	2387	8366
222	2395	8347
223	2404	8331
224	2413	8312
225	2423	8299
226	2432	8282
227	2440	8262
228	2450	8248
229	2458	8230
230	2468	8219
231	2476	8198
232	2485	8182
233	2493	8163
234	2503	8149
235	2512	8134
236	2522	8121
237	2532	8107
238	2540	8087
239	2551	8080
240	2559	8062
241	2572	8056
242	2581	8041
243	2589	8022
244	2601	8015
245	2609	7998
246	2618	7983
247	2627	7967
248	2636	7951
249	2646	7938
250	2653	7919
251	2663	7905
252	2671	7887
253	2680	7872
254	2688	7854
255	2698	7841
256	2706	7824
257	2716	7811
258	2723	7792
259	2733	7779
260	2741	7761
261	2749	7745
262	2758	7730
263	2765	7710
264	2773	7693
265	2781	7675
266	2789	7658
267	2798	7644
268	2807	7629
269	2814	7610
270	2823	7594
271	2830	7576
272	2838	7559
273	2847	7545
274	2856	7530
275	2863	7511
276	2872	7497
277	2879	7479
278	2888	7464
279	2896	7447
280	2904	7431
281	2912	7416
282	2921	7401
283	2928	7383
284	2937	7369
285	2946	7355
286	2954	7339
287	2961	7322
288	2969	7306
289	2977	7289
290	2986	7277
291	2995	7262
292	3004	7248
293	3011	7230
294	3019	7216
295	3026	7198
296	3034	7183
297	3042	7167
298	3051	7154
299	3061	7143
300	3070	7130
301	3078	7115
302	3087	7101
303	3095	7086
304	3104	7073
305	3111	7057
306	3121	7045
307	3129	7030
308	3137	7016
309	3145	7000
310	3154	6988
311	3161	6972
312	3170	6959
313	3178	6943
314	3186	6929
315	3193	6913
316	3202	6900
317	3210	6884
318	3218	6871
319	3225	6855
320	3234	6842
321	3242	6827
322	3251	6814
323	3258	6799
324	3267	6785
325	3275	6771
326	3283	6758
327	3291	6742
328	3300	6730
329	3307	6715
330	3316	6703
331	3323	6688
332	3333	6676
333	3340	6660
334	3349	6648
335	3356	6633
336	3365	6621
337	3374	6608
338	3385	6600
339	3393	6586
340	3402	6575
341	3410	6561
342	3418	6548
343	3426	6534
344	3434	6521
345	3442	6507
346	3450	6494
347	3459	6480
348	3468	6469
349	3476	6456
350	3484	6443
351	3493	6430
352	3500	6416
353	3509	6404
354	3517	6390
355	3526	6379
356	3533	6364
357	3542	6352
358	3549	6338
359	3558	6327
360	3566	6312
361	3575	6300
362	3584	6291
363	3595	6282
364	3604	6270
365	3613	6260
366	3621	6246
367	3630	6234
368	3637	6220
369	3646	6208
370	3654	6195
371	3662	6182
372	3670	6169
373	3680	6159
374	3689	6148
375	3696	6135
376	3705	6124
377	3714	6111
378	3722	6100
379	3731	6087
380	3741	6078
381	3750	6067
382	3760	6057
383	3769	6047
384	3778	6035
385	3790	6028
386	3799	6018
387	3809	6008
388	3818	5998
389	3828	5987
390	3838	5978
391	3847	5967
392	3857	5958
393	3867	5948
394	3876	5937
395	3885	5925
396	3893	5914
397	3903	5903
398	3910	5890
399	3919	5878
400	3927	5867
401	3936	5856
402	3944	5842
403	3953	5832
404	3961	5819
405	3970	5808
406	3978	5797
407	3988	5786
